Year since Katrina,Affected by Katrina,Rural-urban Continuum Code ,Urban Influence Code,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Personal income (thousands of dollars), Net earnings by place of residence, Personal current transfer receipts,  Income maintenance benefits,  Unemployment insurance compensation,  Retirement and other," Dividends, interest, and rent", Population (persons), Per capita personal income, Per capita net earnings, Per capita personal current transfer receipts,  Per capita income maintenance benefits,  Per capita unemployment insurance compensation,  Per capita retirement and other," Per capita dividends, interest, and rent", Earnings by place of work,  Wages and salaries,  Supplements to wages and salaries,   Employer contributions for employee pension and insurance funds,   Employer contributions for government social insurance,  Proprietors' income,   Farm proprietors' income,   Nonfarm proprietors' income,Total employment (number of jobs), Wage and salary employment, Proprietors employment,  Farm proprietors employment,  Nonfarm proprietors employment,Average earnings per job (dollars), Average wages and salaries, Average nonfarm proprietors' income,Patent Grants
0,1,4,3,15.1,28.9,30.5,25.5,4184826,1781469,358677,34706,2994,320977,2044680,75819,55195,23496,4731,458,39,4233,26968,1976590,1402569,329312,231506,97806,244709,0,244709,53888,40122,13766,0,13766,36680,34958,17776,16
0,1,2,2,14.6,29.2,33.4,22.9,4463505,2959243,641147,57007,4861,579279,863115,141132,31626,20968,4543,404,34,4105,6116,1756952,1162215,302059,217774,84285,292678,9955,282723,51313,36092,15221,462,14759,34240,32201,19156,26
0,1,3,2,12,27.1,36.6,24.2,6916170,4269167,892935,77578,5726,809631,1754068,184045,37579,23196,4852,422,31,4399,9531,5399077,3787996,1067110,781748,285362,543971,1627,542344,123373,103414,19959,441,19518,43762,36629,27787,9
0,1,3,2,19,30.6,32.7,17.7,5311868,3309245,910204,93594,8226,808384,1092419,162917,32605,20312,5587,574,50,4962,6705,3834420,2735598,716112,518486,197626,382710,205,382505,97038,80511,16527,104,16423,39515,33978,23291,31
0,1,2,2,17.9,28.3,32.7,21,8886428,5399671,1640904,197995,10772,1432137,1845853,298339,29786,18099,5500,664,36,4800,6187,6957198,5119555,1351701,980023,371678,485942,4409,481533,172394,146989,25405,590,24815,40356,34830,19405,18
0,1,2,2,18.2,26.2,27.6,27.9,18020573,7261236,1606676,101781,11569,1493326,9152661,307452,58613,23617,5226,331,38,4857,29769,7938374,5573313,1122514,748130,374384,1242547,95793,1146754,182757,141263,41494,209,41285,43437,39453,27777,43
0,1,1,1,18,28.4,29.1,24.5,66291459,42692591,8835065,912281,108426,7814358,14763803,1746896,37948,24439,5058,522,62,4473,8451,43461101,32548494,7186072,4920509,2265563,3726535,5491,3721044,998739,802037,196702,317,196385,43516,40582,18948,262
0,1,1,1,32.1,22.3,23.9,21.7,81289794,50350363,14050299,2169987,151131,11729181,16889132,2385872,34071,21104,5889,910,63,4916,7079,63944107,45584327,10334718,7173064,3161654,8025062,66623,7958439,1387609,1095993,291616,1630,289986,46082,41592,27444,165
0,1,6,7,32.6,41.8,16.9,8.7,194653,105105,66644,12444,1495,52705,22904,9295,20942,11308,7170,1339,161,5670,2464,95058,62289,16786,12755,4031,15983,6914,9069,3210,2395,815,192,623,29613,26008,14557,0
0,1,6,6,31.5,38.5,18.8,11.2,309116,179675,90121,7985,1589,80547,39320,14313,21597,12553,6296,558,111,5628,2747,153269,101602,29596,23603,5993,22071,2432,19639,5223,3974,1249,134,1115,29345,25567,17613,0
0,1,8,7,34.6,38.6,18,8.8,238046,136310,75717,8926,1618,65173,26019,10247,23231,13302,7389,871,158,6360,2539,98726,67034,19074,14732,4342,12618,2445,10173,3745,2686,1059,235,824,26362,24957,12346,0
0,1,9,10,36.8,31.5,16.9,14.8,144366,66948,43797,8571,1654,33572,33621,5700,25327,11745,7684,1504,290,5890,5898,71270,43765,12439,9815,2624,15066,11277,3789,2345,1782,563,187,376,30392,24559,10077,1
0,1,9,10,38.6,36.7,15.3,9.4,241763,134220,78929,14518,1800,62611,28614,10258,23568,13084,7694,1415,175,6104,2789,120075,60935,18174,14395,3779,40966,17942,23024,3940,2709,1231,377,854,30476,22494,26960,0
0,1,6,5,26.4,39.7,21,12.9,383635,227022,106807,10904,1972,93931,49806,15674,24476,14484,6814,696,126,5993,3178,180916,120513,31741,24383,7358,28662,11777,16885,5103,3867,1236,175,1061,35453,31164,15914,0
0,1,7,9,42.1,31.2,14.3,12.3,164890,79974,62370,13196,1985,47189,22546,8374,19691,9550,7448,1576,237,5635,2692,86259,57141,16202,12980,3222,12916,9430,3486,2820,2253,567,183,384,30588,25362,9078,0
0,1,6,6,34.6,40,16,9.4,343332,199863,103796,13647,2042,88107,39673,15751,21797,12689,6590,866,130,5594,2519,217673,152168,39218,29014,10204,26287,2525,23762,6620,5458,1162,116,1046,32881,27880,22717,0
0,1,2,2,46.7,24,18.7,10.6,328537,220042,52270,6207,2054,44009,56225,15431,21291,14260,3387,402,133,2852,3644,327355,243437,69904,57895,12009,14014,923,13091,6949,5855,1094,132,962,47108,41578,13608,0
0,1,7,8,36.6,33.7,18.7,11,273648,154598,92050,21497,2229,68324,27000,12663,21610,12209,7269,1698,176,5396,2132,154974,91614,28204,22876,5328,35156,22250,12906,4736,3868,868,233,635,32723,23685,20324,0
0,1,7,9,34.3,35.2,18.1,12.4,408095,233859,109315,14950,2270,92095,64921,16908,24136,13831,6465,884,134,5447,3840,223705,140677,40595,32570,8025,42433,21905,20528,6156,4984,1172,199,973,36339,28226,21098,1
0,1,6,6,28.1,41.3,19.1,11.5,21161,183700,107920,15210,2360,90350,50069,14852,23006,12369,7266,1024,159,6083,3371,178700,123012,32863,24742,8121,22825,6276,16549,5476,4240,1236,164,1072,32633,29012,15438,0
0,1,9,10,40.5,34.8,15.2,9.5,261138,144823,88498,11355,2660,74483,27817,11958,21838,12111,7401,950,222,6229,2326,134356,84105,22045,16586,5459,28206,17583,10623,4335,2963,1372,724,648,30993,28385,16394,0
0,1,3,2,26.9,41.6,21.7,9.8,454129,289214,110749,14381,2782,93586,54166,20386,22277,14187,5433,705,136,4591,2657,158440,100725,32298,26011,6287,25417,1616,23801,4991,3486,1505,186,1319,31745,28894,18045,0
0,1,6,6,29.2,40.9,18.8,11.1,555846,316490,157839,19101,2989,135749,81517,23690,23463,13360,6663,806,126,5730,3441,265251,154464,42809,32950,9859,67978,27585,40393,8110,6036,2074,304,1770,32707,25590,22821,0
0,1,3,2,28.3,40.1,19.8,11.8,577325,364563,144729,16378,3329,125022,68033,22765,25360,16014,6358,719,146,5492,2988,243363,142611,40849,31180,9669,59903,41497,18406,8510,6039,2471,371,2100,28597,23615,8765,0
0,1,6,6,38.1,32.1,16.9,12.8,510311,305133,151106,20742,3393,126971,54072,20466,24935,14909,7383,1013,166,6204,2642,267327,154764,43259,33150,10109,69304,20354,48950,8401,6255,2146,565,1581,31821,24742,30961,1
0,1,6,5,25,39.5,21.7,13.8,26971,584664,269,4521,3571,108958,66504,34130,26293,17131,5317,727,166,4425,3845,394083,278237,70984,53142,17842,44862,1051,43811,12482,9088,3394,685,2709,31572,30616,16172,2
0,1,7,11,38.6,36.5,15.1,9.8,458644,253987,150776,21506,3685,125585,53881,20660,22200,12294,7298,1041,178,6079,2608,230976,132902,39258,31071,8187,58816,31444,27372,8390,5914,2476,866,1610,27530,22472,17001,0
0,1,2,2,26.6,40.6,21.7,11.1,644885,446062,133675,29009,3798,100868,65148,21929,29408,20341,6096,1323,173,4600,2971,469687,341748,83807,60927,22880,44132,7266,36866,11956,10006,1950,94,1856,39285,34154,19863,1
0,1,2,2,29.7,40.6,19.4,10.2,634575,394552,157698,23404,4042,130252,82325,26029,24380,15158,6059,899,155,5004,3163,309959,222490,56614,42638,13976,30855,4265,26590,9229,6879,2350,500,1850,33585,32343,14373,1
0,1,7,8,35.4,34.5,20.6,9.6,537472,302183,163045,34634,4073,124338,72244,19885,27029,15197,8199,1742,205,6253,3633,290234,152525,42953,33842,9111,94756,14066,80690,7685,5846,1839,328,1511,37766,26090,53402,1
0,1,1,1,31.3,34.2,23.7,10.8,795654,500978,202980,43817,4159,155004,91696,29558,26918,16949,6867,1482,141,5244,3102,941174,699462,174070,128543,45527,67642,2683,64959,18453,16029,2424,132,2292,51004,43637,28342,0
0,1,6,6,36.8,38,16,9.3,535010,319079,146201,22589,4405,119207,69730,25076,21336,12724,5830,901,176,4754,2781,341064,235692,68890,56346,12544,36482,4641,31841,10545,8803,1742,306,1436,32344,26774,22173,0
0,1,6,6,44.5,30.6,15.4,9.5,789526,446559,247420,38322,4514,204584,95547,34532,22864,12932,7165,1110,131,5924,2767,328668,208749,60506,47252,13254,59413,10990,48423,11104,8477,2627,590,2037,29599,24625,23772,1
0,1,2,2,30.9,39.1,17.3,12.8,612026,383286,125658,18931,4555,102172,103082,22075,27725,17363,5692,858,206,4628,4670,253932,166826,47012,35924,11088,40094,10471,29623,8435,6184,2251,359,1892,30105,26977,15657,1
0,1,6,5,30.6,41.2,18.3,9.9,800543,491041,192697,25673,4599,162425,116805,31202,25657,15737,6176,823,147,5206,3744,361775,234510,62842,47707,15135,64423,14072,50351,11712,9113,2599,533,2066,30889,25734,24371,0
0,1,6,4,26.1,45.2,18.7,10.1,568955,380946,126058,22108,4932,99018,61951,21399,26588,17802,5891,1033,230,4627,2895,450344,335381,99700,79331,20369,15263,-405,15668,8976,7622,1354,36,1318,50172,44002,11888,0
0,1,6,5,40.6,36.9,15.1,7.4,572531,365922,133624,21271,5082,107271,72985,23199,24679,15773,5760,917,219,4624,3146,223922,154680,39676,29757,9919,29566,-122,29688,6776,4882,1894,59,1835,33046,31684,16179,0
0,1,6,5,33.4,38.8,18.1,9.7,707605,403596,220882,36524,5492,178866,83127,29355,24105,13749,7525,1244,187,6093,2832,351486,238133,60850,45478,15372,52503,27471,25032,10597,8221,2376,342,2034,33168,28966,12307,1
0,1,2,2,34.3,38.9,17.2,9.6,818483,503560,214028,45327,5808,162893,100895,32697,25032,15401,6546,1386,178,4982,3086,864118,665135,167917,127591,40326,31066,-557,31623,17148,14825,2323,126,2197,50392,44866,14394,2
0,1,6,5,27.3,32.1,22.2,18.4,1035769,674092,237080,38526,6353,192201,124597,39107,26486,17237,6062,985,162,4915,3186,701446,417039,118237,93523,24714,166170,19488,146682,19042,15463,3579,448,3131,36837,26970,46848,1
0,1,6,5,29.2,35.9,22.3,12.6,1082407,649613,291741,31522,6431,253788,141053,41203,26270,15766,7081,765,156,6159,3423,574729,408654,105676,78254,27422,60399,1669,58730,17775,13893,3882,347,3535,32334,29414,16614,1
0,1,4,5,19.6,24.7,23.9,31.8,1190504,731266,241814,33271,6557,201986,217424,44580,26705,16403,5424,746,147,4531,4877,868226,529963,144658,113018,31640,193605,27396,166209,23084,19038,4046,277,3769,37612,27837,44099,0
0,1,6,3,31.8,40.2,17.1,10.9,1007414,529169,362823,59662,6832,296329,115422,44880,22447,11791,8084,1329,152,6603,2572,464894,323334,91437,73091,18346,50123,1186,48937,15826,11591,4235,699,3536,29375,27895,13840,1
0,1,6,6,40.2,37,14.5,8.3,959363,549805,278813,41988,6867,229958,130745,41036,23379,13398,6794,1023,167,5604,3186,431071,265581,77934,63125,14809,87556,14934,72622,15496,11711,3785,726,3059,27818,22678,23740,0
0,1,4,5,19.9,36.4,30.2,13.5,1482811,981622,247976,40890,7165,199921,253213,51808,28621,18947,4786,789,138,3859,4888,1193945,847798,290161,223978,66183,55986,2102,53884,26983,24088,2895,389,2506,44248,35196,21502,1
0,1,4,5,34.4,38,16.9,10.7,1389951,889677,309692,47105,7170,255417,190582,55828,24897,15936,5547,844,128,4575,3414,660030,450014,111267,83083,28184,98749,14020,84729,20204,14503,5701,920,4781,32668,31029,17722,3
0,1,4,5,35.3,38,17.2,9.4,1436538,908523,347232,49073,7961,290198,180783,59524,24134,15263,5833,824,134,4875,3037,694460,476681,118802,88592,30210,98977,18888,80089,21523,16243,5280,657,4623,32266,29347,17324,2
0,1,1,1,26.9,37.9,26.2,8.9,1546006,965750,400794,66812,9048,324934,179462,71300,21683,13545,5621,937,127,4557,2517,688992,489115,135923,104847,31076,63954,2026,61928,16783,15324,1459,26,1433,41053,31918,43216,2
0,1,4,5,34.1,38.3,18.2,9.4,1460928,862728,328388,56523,10123,261742,269812,53015,27557,16273,6194,1066,191,4937,5089,1255895,944039,218707,158284,60423,93149,-283,93432,30723,26104,4619,78,4541,40878,36165,20575,4
0,1,4,5,33.1,38.5,17.2,11.2,2010654,1277505,429252,75201,11255,342796,303897,72641,27679,17587,5909,1035,155,4719,4184,1598365,1192560,261352,182106,79246,144453,-1650,146103,40618,33800,6818,253,6565,39351,35283,22255,5
0,1,1,1,20,36.1,26.4,17.5,1629753,1199722,252656,43893,13326,195437,177375,50670,32164,23677,4986,866,263,3857,3501,1492111,1115019,288083,219125,68958,89009,50,88959,28541,23690,4851,46,4805,52280,47067,18514,1
0,1,1,1,23.1,38.9,25,12.9,1255056,858615,271515,64610,13697,193208,124926,45296,27708,18956,5994,1426,302,4265,2758,707025,516227,134006,100901,33105,56792,432,56360,17896,13863,4033,22,4011,39507,37238,14051,1
0,1,4,5,38,33.3,18,10.7,2170501,1286075,606024,100647,13769,491608,278402,83952,25854,15319,7219,1199,164,5856,3316,1098497,750139,199015,152354,46661,149343,5050,144293,34042,26448,7594,1047,6547,32269,28363,22040,2
0,1,3,2,33.7,38,16,12.4,2735785,1801488,471789,61112,13994,396683,462508,92656,29526,19443,5092,660,151,4281,4992,1745212,1210515,301005,226089,74916,233692,2640,231052,44801,35677,9124,324,8800,38955,33930,26256,6
0,1,2,2,17,32.5,32.4,18.1,3207984,2139207,546864,66938,14506,465420,521913,107477,29848,19904,5088,623,135,4330,4856,2125079,1500601,412593,308020,104573,211885,2715,209170,57933,48048,9885,374,9511,36682,31231,21992,1
0,1,2,2,20.4,41.7,23.4,14.5,2756904,2043214,446788,91497,15374,339917,266902,89741,30721,22768,4979,1020,171,3788,2974,1666193,1221588,299359,219782,79577,145246,-1445,146691,42265,33296,8969,236,8733,39423,36689,16797,8
0,1,4,3,28.5,34.3,21,16.3,2807808,1754711,741840,132743,15963,593134,311257,106987,26244,16401,6934,1241,149,5544,2909,1633384,1098033,305662,239999,65663,229689,6616,223073,52420,40981,11439,920,10519,31160,26794,21207,7
0,1,2,2,22.8,43.2,22.6,11.4,2919327,2132410,514638,84771,16223,413644,272279,109208,26732,19526,4712,776,149,3788,2493,910224,591901,155780,117497,38283,162543,-202,162745,33154,21456,11698,377,11321,27454,27587,14375,3
0,1,3,2,32.9,35.8,19,12.3,3071324,2100358,573760,91198,17273,465289,397206,107811,28488,19482,5322,846,160,4316,3684,2460275,1824398,399309,278572,120737,236568,2085,234483,63248,52626,10622,119,10503,38899,34667,22325,17
0,1,3,2,25.4,33.8,24.3,16.5,4065740,2322587,1031852,148443,19015,864394,711301,127544,31877,18210,8090,1164,149,6777,5577,2791841,1946726,502418,376384,126034,342697,7416,335281,74644,62895,11749,763,10986,37402,30952,30519,3
0,1,3,2,23,34.6,25.6,16.9,5290587,3462041,1094781,176605,22792,895384,733765,186417,28380,18571,5873,947,122,4803,3936,4174365,3071776,780512,584749,195763,322077,-141,322218,104860,89117,15743,732,15011,39809,34469,21465,6
0,1,3,2,21.4,30,25.9,22.7,4122709,2612343,863737,131557,22996,709184,646629,149476,27581,17477,5778,880,154,4744,4326,3161548,2288913,574604,428286,146318,298031,8793,289238,91370,74736,16634,379,16255,34602,30627,17794,9
0,1,3,2,20.2,29,25.4,25.5,7122662,4849923,922924,122520,28145,772259,1349815,202053,35251,24003,4568,606,139,3822,6680,6591176,4699705,997814,689389,308425,893657,-203,893860,154963,129799,25164,566,24598,42534,36208,36339,39
0,1,1,1,16.1,26.5,29,28.3,7973804,5537370,1228894,204130,28465,996299,1207540,217358,36685,25476,5654,939,131,4584,5556,3486396,2278674,548664,405094,143570,659058,-521,659579,96967,71030,25937,470,25467,35954,32080,25899,14
0,1,2,2,21.3,32.2,25.9,20.6,8300900,5215997,1510426,211261,36983,1262182,1574477,249593,33258,20898,6052,846,148,5057,6308,6593718,4493180,1091548,798064,293484,1008990,5062,1003928,156133,130397,25736,476,25260,42231,34458,39744,8
0,1,1,1,20.7,30,27.8,21.5,15257862,10277876,2867691,539381,53601,2274709,2112295,456554,33420,22512,6281,1181,117,4982,4627,10963758,7628856,1677134,1173556,503578,1657768,486,1657282,255091,212271,42820,45,42775,42980,35939,38744,37
0,1,1,1,25.3,23.4,25.5,25.8,14559548,8492224,3267824,846347,64765,2356712,2799500,494294,29455,17181,6611,1712,131,4768,5664,13637368,9346695,2171407,1569770,601637,2119266,0,2119266,257148,234442,22706,0,22706,53033,39868,93335,15
0,1,2,2,16.1,26.4,26.7,30.8,14513756,9686347,2428659,500462,76312,1851885,2398750,413812,35073,23408,5869,1209,184,4475,5797,13046733,9445722,2276256,1687939,588317,1324755,690,1324065,309845,266027,43818,393,43425,42107,35507,30491,57
0,1,9,10,41.2,31.2,20.5,7.1,43107,32677,6597,1519,206,4872,3833,1720,25062,18998,3835,883,120,2833,2228,25838,7813,2000,1405,595,16025,14625,1400,456,334,122,74,48,56662,23392,29167,0
0,1,9,10,34.9,32.7,21.2,11.2,183471,106424,56181,7080,622,48479,20866,9026,20327,11791,6224,784,69,5371,2312,103264,70212,18369,13024,5345,14683,4951,9732,3226,2417,809,251,558,32010,29049,17441,0
0,1,9,10,32.5,33.8,23.2,10.5,173050,98283,54080,6728,622,46730,20687,8076,21428,12170,6696,833,77,5786,2562,79540,52011,14902,11104,3798,12627,3883,8744,2651,1863,788,174,614,30004,27918,14241,0
0,1,9,10,32.3,33.9,20.7,13,246679,134800,81279,8599,647,72033,30600,9979,24720,13508,8145,862,65,7218,3066,104211,60333,16656,12126,4530,27222,9282,17940,4034,2485,1549,332,1217,25833,24279,14741,0
0,1,9,10,39.4,28.8,19.2,12.6,133684,73164,43327,9023,683,33621,17193,5707,23425,12820,7592,1581,120,5891,3013,72792,36634,9536,6842,2694,26622,22590,4032,1993,1610,383,84,299,36524,22754,13485,0
0,1,8,4,41.2,32.2,18.8,7.8,167783,104445,48956,6889,692,41375,14382,8307,20198,12573,5893,829,83,4981,1731,60604,35292,9451,6823,2628,15861,3205,12656,2078,1331,747,270,477,29165,26515,26532,0
0,1,9,8,33.4,34.7,21,10.9,239305,151808,59330,7868,758,50704,28167,10473,22850,14495,5665,751,72,4841,2689,66072,34304,9451,6762,2689,22317,8119,14198,2674,1471,1203,489,714,24709,23320,19885,1
0,1,7,9,37.9,32,19.1,11,262594,149449,81509,9982,887,70640,31636,11474,22886,13025,7104,870,77,6157,2757,114105,69558,20175,14863,5312,24372,5796,18576,4319,3183,1136,315,821,26419,21853,22626,0
0,1,9,8,39.5,28.3,21.9,10.3,202767,115683,63196,8504,888,53804,23888,10551,19218,10964,5990,806,84,5099,2264,79948,50630,15628,11841,3787,13690,6289,7401,3126,2247,879,423,456,25575,22532,16230,0
0,1,8,7,29.2,38.3,23.3,9.1,428396,288050,102664,13145,946,88573,37682,16332,26230,17637,6286,805,58,5423,2307,239434,108658,30497,22383,8114,100279,84382,15897,5571,3825,1746,662,1084,42979,28407,14665,0
0,1,8,7,27.1,34.2,26.8,12,328339,198429,98513,12078,975,85460,31397,13097,25070,15151,7522,922,74,6525,2397,179636,112855,27075,18936,8139,39706,22072,17634,4269,2960,1309,399,910,42079,38127,19378,0
0,1,3,2,28,38.1,26.2,7.7,264624,149477,88038,13107,982,73949,27109,12088,21891,12366,7283,1084,81,6118,2243,134684,93853,21940,15387,6553,18891,6956,11935,3803,2751,1052,306,746,35415,34116,15999,0
0,1,8,5,32.8,35.6,22.2,9.4,294803,169671,89444,12455,985,76004,35688,13396,22007,12666,6677,930,74,5674,2664,103720,60270,15638,11036,4602,27812,17539,10273,3747,2411,1336,537,799,27681,24998,12857,1
0,1,8,7,32.6,38,21.4,8,230538,146839,59594,9064,1016,49514,24105,13201,17464,11123,4514,687,77,3751,1826,91478,55166,16637,12611,4026,19675,12765,6910,3340,2318,1022,355,667,27389,23799,10360,0
0,1,7,10,35.6,34.6,19.6,10.2,337192,199631,98104,11447,1034,85623,39457,14803,22779,13486,6627,773,70,5784,2665,162827,98330,26135,18735,7400,38362,18524,19838,5787,4052,1735,581,1154,28137,24267,17191,0
0,1,8,7,41.9,33.1,15.1,10,200439,104422,66294,11943,1044,53307,29723,10123,19800,10315,6549,1180,103,5266,2936,86318,55857,14609,10180,4429,15852,5019,10833,3290,2263,1027,199,828,26236,24683,13083,0
0,1,1,1,39.5,30.2,21.3,9.1,251934,153504,60555,13701,1045,45809,37875,10425,24166,14725,5809,1314,100,4394,3633,596488,472366,84178,46553,37625,39944,23199,16745,16609,15931,678,79,599,35914,29651,27955,0
0,1,7,9,31,37.6,21.8,9.6,295684,160744,92153,11188,1059,79906,42787,12979,22782,12385,7100,862,82,6157,3297,142982,90538,25362,18644,6718,27082,7009,20073,4672,3063,1609,332,1277,30604,29559,15719,0
0,1,8,7,33.6,34.9,21.2,10.4,273387,157013,88157,15137,1123,71897,28217,12859,21260,12210,6856,1177,87,5591,2194,108897,63657,17502,12624,4878,27738,14651,13087,3777,2637,1140,386,754,28832,24140,17357,0
