Year since Katrina,Affected by Katrina,Rural-urban Continuum Code ,Urban Influence Code,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Personal income (thousands of dollars), Net earnings by place of residence, Personal current transfer receipts,  Income maintenance benefits,  Unemployment insurance compensation,  Retirement and other," Dividends, interest, and rent", Population (persons), Per capita personal income, Per capita net earnings, Per capita personal current transfer receipts,  Per capita income maintenance benefits,  Per capita unemployment insurance compensation,  Per capita retirement and other," Per capita dividends, interest, and rent", Earnings by place of work,  Wages and salaries,  Supplements to wages and salaries,   Employer contributions for employee pension and insurance funds,   Employer contributions for government social insurance,  Proprietors' income,   Farm proprietors' income,   Nonfarm proprietors' income,Total employment (number of jobs), Wage and salary employment, Proprietors employment,  Farm proprietors employment,  Nonfarm proprietors employment,Average earnings per job (dollars), Average wages and salaries, Average nonfarm proprietors' income,Patent Grants
6,0,6,6,10,50.5,25.6,14,660500,409807,152094,14360,6125,131609,98599,19372,34096,21155,7851,741,316,6794,5090,294630,162787,50225,35875,14350,81618,46007,35611,7200,4792,2408,609,1799,40921,33971,19795,1
0,0,8,7,16.2,39.1,30.7,14,207228,135148,38953,2380,242,36331,33127,6166,33608,21918,6317,386,39,5892,5373,135550,61379,16661,11904,4757,57510,32626,24884,3957,2538,1419,423,996,34256,24184,24984,0
2,0,6,6,26.8,46.6,19.2,7.4,564935,336594,166110,20658,2882,142570,62231,23612,23926,14255,7035,875,122,6038,2636,167275,101789,32089,24578,7511,33397,6068,27329,6393,4034,2359,507,1852,26165,25233,14756,1
2,0,1,1,16.7,33.6,26.2,23.5,12731253,9032173,1900712,165744,33570,1701398,1798368,361192,35248,25007,5262,459,93,4711,4979,8371074,6170469,1490390,1028095,462295,710215,1819,708396,189362,155946,33416,839,32577,44207,39568,21745,121
5,0,7,11,17,41.5,28.1,13.4,643329,358593,214483,24081,8112,182290,70253,21833,29466,16424,9824,1103,372,8349,3218,432197,325239,74187,48082,26105,32771,1843,30928,10602,8500,2102,363,1739,40766,38263,17785,0
8,0,8,7,15.5,35.6,23.9,25,27625,33997,158,7876,4467,126986,72873,2205,39332,15418,9634,492,76,9066,14280,32973,16708,5185,3966,1219,11080,7901,3179,1323,613,710,235,475,24923,27256,6693,0
4,0,6,6,37,29.9,24,9.2,105970,75260,18335,1633,885,15817,12375,3377,31380,22286,5429,484,262,4684,3664,82509,58526,13043,9411,3632,10940,-2324,13264,2126,1422,704,108,596,38810,41158,22255,0
7,0,3,2,7.4,39.3,32,21.2,689671,459605,130503,8975,4935,116593,99563,18877,36535,24347,6913,475,261,6176,5274,203255,120934,32159,22180,9979,50162,9769,40393,6743,3722,3021,893,2128,30143,32492,18982,1
4,0,9,8,31.3,43.5,17.9,7.3,135559,78004,42712,3768,2229,36715,14843,5421,25006,14389,7879,695,411,6773,2738,167415,134276,30614,20737,9877,2525,-684,3209,3396,3041,355,88,267,49298,44155,12019,0
6,0,8,4,7.4,39.1,34.9,18.5,529306,265358,160068,10115,4658,145295,103880,15461,34235,17163,10353,654,301,9398,6719,241466,147936,55164,42891,12273,38366,4842,33524,7227,5055,2172,400,1772,33412,29265,18919,3
5,0,4,5,9.3,44.7,29.8,16.2,1216049,754473,310182,26304,19051,264827,151394,39082,31115,19305,7937,673,487,6776,3874,844843,590478,154907,105730,49177,99458,17931,81527,20528,15912,4616,973,3643,41156,37109,22379,0
7,0,9,8,6.9,36.4,28.8,27.9,167946,111681,16182,1343,161,14678,40083,2976,56433,37527,5438,451,54,4932,13469,93222,45301,10297,6815,3482,37624,23869,13755,2099,1459,640,159,481,44413,31049,28597,0
6,0,3,2,12.2,35.7,34.7,17.4,906206,550271,203270,19873,10772,172625,152665,29651,30562,18558,6855,670,363,5822,5149,240554,150646,46673,34830,11843,43235,3610,39625,7731,4734,2997,704,2293,31116,31822,17281,0
6,0,6,3,28,43.9,17.5,10.5,665283,373709,185880,31805,4437,149638,105694,27657,24055,13512,6721,1150,160,5410,3822,409633,256512,71459,51731,19728,81662,56813,24849,10912,8406,2506,810,1696,37540,30515,14652,0
6,0,7,8,16.8,32.3,31.4,19.6,857631,546457,122838,12150,972,109716,188336,17693,48473,30885,6943,687,55,6201,10645,591991,299442,77074,53938,23136,215475,132308,83167,11616,9018,2598,665,1933,50963,33205,43025,2
0,0,1,1,20.2,34.3,28.9,16.6,8106337,4630503,1773411,111780,9943,1651688,1702423,267587,30294,17305,6627,418,37,6173,6362,3874820,2757773,662959,468119,194840,454088,34223,419865,112088,85544,26544,1375,25169,34569,32238,16682,21
5,0,2,2,5.1,31,29.4,34.5,1389098,849475,271251,24871,9561,236819,268372,35235,39424,24109,7698,706,271,6721,7617,1054346,749019,215433,158752,56681,89894,3199,86695,21610,16585,5025,199,4826,48790,45162,17964,7
7,0,1,1,14.3,23.2,28.3,34.1,12490521,7735341,2904023,497382,70426,2336215,1851157,319363,39111,24221,9093,1557,221,7315,5796,18183282,13098577,2993965,2056771,937194,2090740,0,2090740,270092,238005,32087,0,32087,67323,55035,65158,96
5,0,4,5,4.8,19.6,32.4,43.1,2125626,1299695,264110,19197,19576,225337,561821,51338,41405,25316,5145,374,381,4389,10944,1499539,1040417,221384,151301,70083,237738,-8886,246624,37081,25002,12079,992,11087,40440,41613,22244,5
4,0,9,10,18,40.8,30.4,10.8,102456,59386,25448,1393,414,23641,17622,3129,32744,18979,8133,445,132,7555,5632,46526,23298,7204,5342,1862,16024,11081,4943,1696,947,749,359,390,27433,24602,12674,0
1,0,7,11,23.4,39.9,22.5,14.2,502696,280999,153743,12498,1277,139968,67954,20715,24267,13565,7422,603,62,6757,3280,314294,212383,60856,45229,15627,41055,16914,24141,11148,7592,3556,1229,2327,28193,27975,10374,2
6,0,3,2,16.5,30,33.8,19.7,4030065,2363911,1008075,128144,38010,841921,658079,124080,32480,19052,8124,1033,306,6785,5304,2573763,1799783,517426,367193,150233,256554,81800,174754,60034,50291,9743,469,9274,42872,35787,18843,5
9,0,7,9,13.4,37.8,31.3,17.5,1151945,660782,314039,20820,3046,290173,177124,30983,37180,21327,10136,672,98,9366,5717,753355,537200,137507,95146,42361,78648,11700,66948,15653,11583,4070,653,3417,48128,46378,19593,1
8,0,6,6,13.9,38.8,31.9,15.4,1249736,706635,356394,36646,3911,315837,186707,40960,30511,17252,8701,895,95,7711,4558,735831,500706,131165,87597,43568,103960,1792,102168,18317,13015,5302,1434,3868,40172,38471,26414,2
8,0,2,2,8.9,40.8,30.8,19.5,1259157,851042,233734,15592,4296,213846,174381,33280,37835,25572,7023,469,129,6426,5240,687947,457803,115920,81361,34559,114224,48800,65424,16149,11979,4170,635,3535,42600,38217,18507,20
10,0,3,2,8.7,25.6,28.8,36.9,6518729,4241880,1070216,114955,9078,946183,1206633,186076,35033,22796,5751,618,49,5085,6485,5458451,4013173,1021373,723015,298358,423905,-17807,441712,108601,92837,15764,597,15167,50262,43228,29123,188
10,0,2,2,11.2,30.8,35.3,22.7,6033232,3547249,1221334,135494,21754,1064086,1264649,146249,41253,24255,8351,926,149,7276,8647,5724571,4353587,1081582,782672,298910,289402,8188,281214,89923,77563,12360,539,11821,63661,56130,23789,30
7,0,6,3,21.7,31.9,31,15.4,2077350,1052467,672606,71664,18767,582175,352277,68927,30138,15269,9758,1040,272,8446,5111,1104846,744052,201260,144210,57050,159534,12338,147196,30319,22465,7854,832,7022,36441,33120,20962,2
10,0,5,8,32.6,25.6,23.7,18.1,1668859,1020365,392000,57698,6240,328062,256494,48906,34124,20864,8015,1180,128,6708,5245,1124260,753834,243814,182046,61768,126612,6643,119969,24326,19455,4871,379,4492,46216,38748,26707,0
2,0,3,2,20.6,32.9,27.8,18.6,32573,3357264,54,5411,6063,105563747,77268978,153969,33175,21805,5873,508,122,5243,5497,3717000,2564912,778354,584844,193510,373734,41306,332428,84923,70329,14594,675,13919,43769,36470,23883,4
6,0,6,4,12.2,42.4,31.5,13.9,1313350,709441,404940,41693,18014,345233,198969,42704,30755,16613,9482,976,422,8084,4659,622015,368544,108831,77813,31018,144640,76877,67763,17421,11288,6133,1293,4840,35705,32649,14001,4
1,0,9,8,18.6,46.6,23.2,11.6,92775,52057,29202,2158,341,26703,11516,4267,21742,12200,6844,506,80,6258,2699,32247,16792,6332,5106,1226,9123,1049,8074,1644,817,827,470,357,19615,20553,22616,0
1,0,1,1,9.9,19.8,25.9,44.4,9476184,7520271,507350,28874,8605,469871,1448563,161902,58530,46450,3134,178,53,2902,8947,6240927,3860096,739652,474586,265066,1641179,-5934,1647113,121988,86521,35467,1336,34131,51160,44615,48259,38
0,0,7,11,17.5,31.3,33.3,17.9,186892,89743,48104,2813,1582,43709,49045,7708,24246,11643,6241,365,205,5671,6363,101076,68641,20868,14797,6071,11567,-2253,13820,4409,2872,1537,304,1233,22925,23900,11208,0
6,0,6,3,11.1,35.3,35.8,17.8,1302854,835676,267927,16016,15195,236716,199251,35594,36603,23478,7527,450,427,6650,5598,781800,479136,138476,103407,35069,164188,90547,73641,16696,12563,4133,707,3426,46826,38139,21495,2
0,0,8,4,28.6,44.4,19.3,7.6,230411,160996,45373,4000,1061,40312,24042,10165,22667,15838,4464,394,104,3966,2365,101072,75324,15279,10002,5277,10469,1367,9102,3534,2576,958,363,595,28600,29241,15297,0
6,0,6,5,18.6,40.7,27.3,13.4,1609668,883914,455520,45727,11246,398547,270234,53212,30250,16611,8560,859,211,7490,5078,822199,563123,156726,109972,46754,102350,7216,95134,23951,17280,6671,1296,5375,34328,32588,17699,4
2,0,7,8,16,49.7,21.6,12.7,1341821,922959,212613,12739,3256,196618,206249,41055,32683,22481,5179,310,79,4789,5024,859532,583824,158145,113942,44203,117563,28883,88680,23977,18655,5322,1104,4218,35848,31296,21024,4
5,0,6,3,13.8,44.6,25.9,15.7,990455,614255,242291,25018,14971,202302,133909,33225,29811,18488,7292,753,451,6089,4030,565166,403487,105233,74476,30757,56446,14575,41871,14642,11357,3285,551,2734,38599,35528,15315,2
5,0,6,6,18.9,40.4,24.5,16.1,598044,312062,204071,29211,6400,168460,81911,20944,28554,14900,9744,1395,306,8043,3911,304276,206608,56810,39785,17025,40858,12862,27996,9097,7046,2051,398,1653,33448,29323,16936,1
9,0,5,8,12.8,28.6,36.6,22.1,1479571,941454,305837,30475,2368,272994,232280,36468,40572,25816,8386,836,65,7486,6369,1068967,705733,182130,124573,57557,181104,67842,113262,23638,18212,5426,759,4667,45222,38751,24269,4
6,0,3,2,4.1,32.9,34,29,1016606,666289,168712,7703,5088,155921,181605,24376,41705,27334,6921,316,209,6396,7450,560360,355113,90570,62049,28521,114677,60813,53864,14341,10301,4040,831,3209,39074,34474,16785,4
4,0,6,5,30.5,40.4,18,11.1,1145141,641035,337415,37822,20245,279348,166691,42171,27155,15201,8001,897,480,6624,3953,709988,511915,136644,96384,40260,61429,3921,57508,22887,16598,6289,1835,4454,31021,30842,12912,1
0,0,7,11,21.7,31.3,32.8,14.2,453194,327207,53837,4920,1369,47548,72150,15046,30121,21747,3578,327,91,3160,4795,368022,265984,70530,53031,17499,31508,4985,26523,9077,7329,1748,211,1537,40544,36292,17256,0
9,0,5,8,27.1,31.3,28.5,13.1,2857067,2041236,496040,57783,4254,434003,319791,69757,40957,29262,7111,828,61,6222,4584,2426926,1911043,383499,244303,139196,132384,107329,25055,41725,34948,6777,398,6379,58165,54682,3928,0
1,0,7,11,13.7,27.7,37.5,21,311234,193587,59144,3210,405,55529,58503,9658,32226,20044,6124,332,42,5750,6057,222276,136226,31980,21539,10441,54070,19075,34995,6730,4748,1982,439,1543,33028,28691,22680,1
2,0,2,2,22.3,32.7,29.9,15.1,8091367,4707909,1696982,140529,26438,1530015,1686476,266860,30321,17642,6359,527,99,5733,6320,3731830,2746803,642067,446185,195882,342960,7588,335372,102802,76613,26189,257,25932,36301,35853,12933,21
10,0,4,5,3.8,16.1,30.3,49.8,1518128,937174,212063,10654,2889,198520,368891,38036,39913,24639,5575,280,76,5219,9698,1024226,679164,244273,176992,67281,100789,18683,82106,23612,18779,4833,401,4432,43377,36166,18526,20
0,0,3,2,17.7,24.3,36.1,21.8,6170006,3736383,1321900,179197,32395,1110308,1111723,214752,28731,17399,6155,834,151,5170,5177,4015834,2446317,741983,534909,207074,827534,69322,758212,103948,79251,24697,1701,22996,38633,30868,32971,7
7,0,7,9,18.4,37,30.1,14.5,719080,360628,226453,21176,4461,200816,131999,23207,30985,15540,9758,912,192,8653,5688,373321,274728,61708,44237,17471,36885,-11282,48167,10777,6900,3877,1367,2510,34641,39816,19190,1
0,0,6,6,15.4,37,34,13.5,123314,74695,23885,1650,193,22042,24734,3925,31418,19031,6085,420,49,5616,6302,77237,42875,13029,9774,3255,21333,13312,8021,2587,1707,880,294,586,29856,25117,13688,0
0,0,9,12,11.6,31.4,34.8,22.2,30453,20608,3916,182,220,3514,5929,1069,28487,19278,3663,170,206,3287,5546,18626,10522,2741,1867,874,5363,422,4941,646,397,249,91,158,28833,26504,31272,0
8,0,3,2,9.1,37.6,32.6,20.7,582704,371492,129336,10547,3987,114802,81876,16080,36238,23103,8043,656,248,7139,5092,169348,86007,27635,20556,7079,55706,21865,33841,5916,3151,2765,899,1866,28625,27295,18136,2
7,0,2,2,9.2,23.9,28.4,38.5,9274475,5135215,2005070,184327,61694,1759049,2134190,243741,38051,21068,8226,756,253,7217,8756,6451367,4622758,1144713,779859,364854,683896,8360,675536,158726,121353,37373,878,36495,40645,38093,18510,28
7,0,1,1,12.5,23.1,29,35.3,28673078,21331877,3655909,585843,149934,2920132,3685292,839144,34169,25421,4357,698,179,3480,4392,21724701,16616043,3298261,2152320,1145941,1810397,5254,1805143,460167,332584,127583,141,127442,47210,49960,14164,336
2,0,7,8,27.5,35.6,23.3,13.7,1486271,742845,466390,35612,4125,426653,277036,54534,27254,13622,8552,653,76,7824,5080,811430,511186,128554,91528,37026,171690,-13429,185119,25958,17994,7964,759,7205,31259,28409,25693,1
3,0,4,3,29.7,31.2,26.6,12.5,1160866,738879,253424,27579,3970,221875,168563,36708,31624,20129,6904,751,108,6044,4592,685176,478943,121540,90239,31301,84693,27438,57255,16314,11745,4569,790,3779,41999,40778,15151,0
9,0,4,3,8.5,24.8,42.2,24.5,1410931,747857,373670,29757,5817,338096,289404,37421,37704,19985,9986,795,155,9035,7734,966599,650051,179445,117264,62181,137103,2908,134195,22993,17825,5168,186,4982,42039,36468,26936,7
2,0,7,11,19.9,25.2,36.1,18.8,396757,237308,78887,6553,1258,71076,80562,11320,35049,20964,6969,579,111,6279,7117,269212,161727,40887,27800,13087,66598,34784,31814,8105,6048,2057,531,1526,33216,26741,20848,3
6,0,8,7,7.9,37.8,35.1,19.2,344093,232879,51021,2595,781,47645,60193,5826,59062,39972,8757,445,134,8178,10332,230599,77925,21506,15647,5859,131168,107075,24093,3802,2459,1343,381,962,60652,31690,25045,0
10,0,2,2,31.1,25.1,30,13.8,9686983,5639662,2474035,362868,64402,2046765,1573286,267406,36226,21090,9252,1357,241,7654,5884,5571452,3149557,1072139,843752,228387,1349756,771061,578695,100098,80231,19867,2172,17695,55660,39256,32704,8
0,0,2,2,22.3,32.7,29.9,15.1,6979638,4074786,1443621,132326,15094,1296201,1461231,241965,28846,16840,5966,547,62,5357,6039,3444455,2463624,613489,439592,173897,367342,38876,328466,97208,74170,23038,266,22772,35434,33216,14424,10
7,0,1,1,5.6,28.7,38.3,27.4,5192896,3866650,695695,52115,32082,611498,630551,127257,40806,30385,5467,410,252,4805,4955,2281510,1447213,366680,243265,123415,467617,34372,433245,55834,39923,15911,1273,14638,40862,36250,29597,53
0,0,6,6,20.1,37.4,25.9,16.6,1235688,742234,289407,22353,5337,261717,204047,48377,25543,15343,5982,462,110,5410,4218,862885,556652,192745,146485,46260,113488,17295,96193,24207,18113,6094,702,5392,35646,30732,17840,0
3,0,3,2,35.5,32.8,21,10.7,284191,157736,75377,14383,1216,59778,51078,9648,29456,16349,7813,1491,126,6196,5294,120025,78408,20220,14917,5303,21397,13268,8129,3834,2727,1107,214,893,31305,28752,9103,0
1,0,9,8,12.7,22.6,36.6,28.1,260601,187789,24089,2256,275,21558,48723,8270,31512,22707,2913,273,33,2607,5892,171744,83739,21327,13421,7906,66678,5474,61204,4642,3003,1639,253,1386,36998,27885,44159,0
6,0,3,2,14.2,32.9,30.5,22.4,3754348,2474969,724197,87580,26613,610004,555182,102622,36584,24117,7057,853,259,5944,5410,2778857,1789594,445678,297443,148235,543585,60275,483310,63279,52699,10580,854,9726,43914,33959,49693,8
8,0,1,1,9,29.7,25.6,35.7,23668,17076538,4339491,370694,105185,3863612,4594479,549486,47336,31077,7897,675,191,7031,8361,22568319,17147258,3873517,2653363,1220154,1547544,25080,1522464,356946,295256,61690,286,61404,63226,58076,24794,430
6,0,7,9,17.2,42.1,30.2,10.5,456299,177503,212795,16120,4064,192611,66001,17269,26423,10279,12322,933,235,11154,3822,153434,104436,26466,17837,8629,22532,-9120,31652,6690,4007,2683,616,2067,22935,26063,15313,0
2,0,7,11,19,35.1,29.1,16.8,157455,90405,25606,1717,262,23627,41444,4969,31687,18194,5153,346,53,4755,8341,122172,71783,20442,13596,6846,29947,9086,20861,3312,2294,1018,275,743,36888,31292,28077,0
9,0,1,1,6.6,28.9,27.7,36.8,24087247,16408035,3687875,238488,111233,3338154,3991337,450318,53489,36437,8189,530,247,7413,8863,16009957,11522185,2930198,1983486,946712,1557574,1733,1555841,266888,214434,52454,716,51738,59988,53733,30072,112
0,0,4,5,15.2,41,26.8,16.9,2407725,1631149,397140,29072,14153,353915,379436,74981,32111,21754,5297,388,189,4720,5060,2059456,1486753,402980,289531,113449,169723,15732,153991,50807,41984,8823,999,7824,40535,35412,19682,5
5,0,7,8,25.9,34.3,25.6,14.2,1003710,626309,220496,22623,8437,189436,156905,31718,31645,19746,6952,713,266,5973,4947,570467,356547,91047,63810,27237,122873,25450,97423,16004,11441,4563,1074,3489,35645,31164,27923,2
0,0,6,6,19.1,45.3,23.9,11.7,562777,345986,127468,9138,3771,114559,89323,20477,27483,16896,6225,446,184,5595,4362,352880,226895,70029,51661,18368,55956,12382,43574,11203,8251,2952,443,2509,31499,27499,17367,2
1,0,9,12,26.3,26.6,32.4,14.7,316057,177063,99169,23814,1808,73547,39825,13625,23197,12995,7278,1748,133,5398,2923,204125,135782,41093,29829,11264,27250,1261,25989,6671,4983,1688,510,1178,30599,27249,22062,0
7,0,1,1,19.9,38.8,27.1,14.3,911251,490258,297867,43616,8974,245277,123126,32686,27879,14999,9113,1334,275,7504,3767,452049,327200,85802,59282,26520,39047,8409,30638,11130,8705,2425,422,2003,40615,37588,15296,2
2,0,6,6,25,38.2,24.8,12,800026,447516,245122,20558,1855,222709,107388,30176,26512,14830,8123,681,61,7380,3559,385694,259717,65741,48138,17603,60236,11346,48890,12622,8505,4117,968,3149,30557,30537,15526,0
7,0,6,6,16.9,42.4,26.7,14.1,222789,104531,89998,8617,2231,79150,28260,7947,28034,13154,11325,1084,281,9960,3556,119420,91328,23120,14885,8235,4972,187,4785,3761,3100,661,78,583,31752,29461,8208,0
1,0,3,2,11.9,37.8,27.9,22.5,6310793,4580717,694851,45446,27970,621435,1035225,171632,36769,26689,4048,265,163,3621,6032,5447147,4039268,1026600,708076,318524,381279,16911,364368,127026,108868,18158,1211,16947,42882,37102,21500,124
3,0,7,11,38.7,29.9,21.7,9.7,1132193,585905,422194,58224,5801,358169,124094,39964,28330,14661,10564,1457,145,8962,3105,697279,460643,123324,88589,34735,113312,-238,113550,16006,13193,2813,68,2745,43564,34916,41366,2
0,0,7,9,27.1,38.3,24.3,10.3,383607,182818,143619,11836,1730,130053,57170,17391,22058,10512,8258,681,99,7478,3287,160681,95750,25335,17763,7572,39596,13491,26105,7218,4374,2844,636,2208,22261,21891,11823,0
9,0,9,10,7.8,32.6,38.6,20.9,305955,207556,42875,2541,645,39689,55524,6636,46105,31277,6461,383,97,5981,8367,236281,172085,40973,28991,11982,23223,2309,20914,4551,3331,1220,274,946,51918,51662,22108,0
5,0,9,12,9.9,30.8,27.4,31.9,493898,197255,121832,8601,3165,110066,174811,11362,43469,17361,10723,757,279,9687,15386,239057,162585,39446,27686,11760,37026,-875,37901,7121,5097,2024,49,1975,33571,31898,19190,3
3,0,4,5,22.8,48.3,18.2,10.7,4885724,2941817,1239700,72518,64063,1103119,704207,148463,32909,19815,8350,488,432,7430,4743,2657929,1819068,571080,420070,151010,267781,2625,265156,66377,54654,11723,823,10900,40043,33283,24326,8
4,0,3,2,17,36.1,23.8,23.1,1872742,1110326,433343,32252,9063,392028,329073,44355,42222,25033,9770,727,204,8838,7419,1583621,1022975,259220,178422,80798,301426,-1278,302704,36535,31701,4834,209,4625,43345,32269,65450,8
8,0,3,2,9.2,41.8,18.4,30.5,888137,600103,167055,10004,4830,152221,120979,18370,48347,32668,9094,545,263,8286,6586,1336770,1028493,263274,198867,64407,45003,-68,45071,19728,17619,2109,417,1692,67760,58374,26638,1
10,0,9,10,6.6,32.6,40,20.9,284318,192981,41361,2022,224,39115,49976,5174,54951,37298,7994,391,43,7560,9659,157347,55133,15266,11254,4012,86948,65502,21446,2785,1633,1152,372,780,56498,33762,27495,1
9,0,1,1,10.9,28.2,29.4,31.5,60372413,36295270,11899966,1402230,121343,10376393,12177177,1262459,47821,28750,9426,1111,96,8219,9646,54581197,40632537,9337494,6484513,2852981,4611166,2559,4608607,908783,753600,155183,96,155087,60060,53918,29716,577
0,0,6,6,14.6,35.5,34.6,15.3,1011494,592389,257067,23851,5988,227228,162038,41612,24308,14236,6178,573,144,5461,3894,489217,311675,96727,64247,32480,80815,5434,75381,16084,10791,5293,1099,4194,30416,28883,17974,3
6,0,8,7,17.2,42.4,26.6,13.8,245696,135922,79835,6878,2117,70840,29939,8600,28569,15805,9283,800,246,8237,3481,93259,49375,11996,7670,4326,31888,16798,15090,2861,1782,1079,390,689,32597,27708,21901,0
7,0,7,11,15.3,18.9,34.3,31.5,581192,363620,59512,5840,6863,46809,158060,14248,40791,25521,4177,410,482,3285,11093,440384,255917,77966,59061,18905,106501,20696,85805,9360,7104,2256,59,2197,47050,36024,39056,2
9,0,1,1,8.3,31.5,29.4,30.9,6247544,4353963,989890,75806,8433,905651,903691,147017,42495,29615,6733,516,57,6160,6147,2753996,1876776,463032,315861,147171,414188,10256,403932,67319,51563,15756,512,15244,40910,36398,26498,40
5,0,3,2,27.1,25.5,34.3,13,4070314,2516480,906363,146237,72863,687263,647471,152404,26707,16512,5947,960,478,4509,4248,3022852,2005493,705159,555338,149821,312200,80003,232197,56175,48598,7577,904,6673,53811,41267,34796,3
1,0,5,8,27.9,36.6,21.7,13.8,1705796,893565,559973,53703,4751,501519,252258,61297,27828,14578,9135,876,78,8182,4115,1004310,683281,200603,127456,73147,120426,-1502,121928,28527,23701,4826,383,4443,35206,28829,27443,2
4,0,7,9,15.5,43,26.8,14.7,270045,140464,78335,5417,2660,70258,51246,9260,29163,15169,8460,585,287,7587,5534,132841,93945,25703,16713,8990,13193,-419,13612,4251,3247,1004,95,909,31249,28933,14975,0
9,0,3,2,6.7,21.3,35.1,36.9,3837939,2524931,554381,74058,6528,473795,758627,117867,32562,21422,4703,628,55,4020,6436,2748530,1837075,539577,389507,150070,371878,40444,331434,71150,53874,17276,1082,16194,38630,34099,20466,73
4,0,2,2,32.4,30.4,24.4,12.8,2434031,1317619,736202,68754,50856,616592,380210,91178,26695,14451,8074,754,558,6763,4170,1384691,980627,281838,203800,78038,122226,2960,119266,37874,30619,7255,403,6852,36560,32027,17406,3
8,0,1,1,6.7,34.4,36.3,22.6,2738913,2147281,299475,21028,17832,260615,292157,50184,54577,42788,5968,419,355,5193,5822,2034560,962909,278778,211358,67420,792873,86347,706526,22629,17971,4658,355,4303,89909,53581,164194,4
4,0,9,10,24.4,33.4,26,16.2,155006,86084,27519,1736,524,25259,41403,4608,33638,18681,5972,377,114,5482,8985,84580,45547,11057,7803,3254,27976,12363,15613,2627,1599,1028,425,603,32196,28485,25892,0
4,0,3,2,37,29,21.1,12.8,2663779,1607419,606534,84472,39900,482162,449826,101009,26372,15914,6005,836,395,4773,4453,2699864,2077473,491393,341281,150112,130998,1953,129045,64074,55845,8229,364,7865,42137,37201,16408,5
